ID,Account,Date,Description,Amount
a588218e739249b1be50a2c858da2be3b9afda4e,RBC Chequing,1/7/2026,C - IDP REFUND-5173 SOFT MOC #36,74.80,cad
556c8f9ff20d38659cdfba6e0de4644a283e2ca5,RBC Chequing,1/12/2026,C-IDP PURCHASE-1332 SQ *THE POLLY F,-72.50,cad
f6012885e42012599f0405bdea597361ab4b224a,RBC Savings,1/2/2026,DEPOSIT INTEREST,1.26,cad
519de13d7efabbf784af409cc095b25b8c4e0e6e,RBC Visa,11/16/2025,TAKE SUSHI JAPANESE BURNABY BC,-90.46,cad
0c6c87fd04cf7149042affcae258f6db7719dcf4,RBC Visa,1/2/2026,"PT MOODY PARKS, REC & CULPORT MOODY BC",190.00,cad
cfb736eb1dd366c9c0d369f1f4c6ad5bc4c3dee8,RBC Chequing,2/16/2026,GAP OUTLET CA 6 IDP PURCHASE - 9768,-123.33,cad
